39, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male, 40, United-Kingdom, <=50K
31, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 38, Poland, >50K
48, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, <=50K
31, Private, year-9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 43, China, <=50K
53, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-Kingdom, <=50K
24, Private, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, 50, United-Kingdom, <=50K
49, Private, HS-grad, Separated, Adm-clerical, Unmarried, White, Female, 40, United-Kingdom, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, 35, United-Kingdom, <=50K
57, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 40, Jamaica, >50K
53, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 38, United-Kingdom, <=50K
44, Private, Masters, Divorced, Exec-managerial, Unmarried, White, Female, 40, United-Kingdom, <=50K
41, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-Kingdom, <=50K
29, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male, 43, United-Kingdom, <=50K
25, Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, Other, Female, 40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, 30, Columbia, <=50K
47, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, 60, Honduras, >50K
50, Federal-gov, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Male, 55, United-States, >50K
47, Self-emp-inc, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male, 60, United-Kingdom, <=50K
43, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, 40, France, >50K
46, Private, year-6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, Mexico, <=50K
35, Private, Assoc-voc, Married-civ-spouse, Other-service, Husband, White, Male, 40, Puerto-Rico, <=50K
41, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, 48, United-Kingdom, <=50K
30, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, Haiti, <=50K
30, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 40, United-Kingdom, <=50K
32, State-gov, year-8, Married-spouse-absent, Tech-support, Not-in-family, White, Male, 40, Laos, <=50K
48, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, 40, United-Kingdom, <=50K
42, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, 45, Mexico, >50K
29, Private, Some-college, Divorced, Tech-support, Not-in-family, White, Male, 58, United-States, <=50K
36, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-Kingdom, <=50K
28, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, 40, Thailand, <=50K
53, Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, 40, United-Kingdom, >50K
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-Kingdom, >50K
25, Without-pay, Some-college, Never-married, Craft-repair, Own-child, White, Male, 40, United-Kingdom, <=50K
19, Private, Some-college, Never-married, Prof-specialty, Own-child, White, Male, 32, United-Kingdom, <=50K
31, Private, Bachelors, Separated, Sales, Own-child, Black, Female, 40, Jamaica, <=50K
29, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, Husband, Asian, Male, 70, China, >50K
23, Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, White, Male, 40, United-States, <=50K
79, Private, Some-college, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, 20, United-Kingdom, <=50K
27, Private, HS-grad, Never-married, Other-service, Own-child, Hispanic, Male, 40, Mexico, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, 40, United-Kingdom, <=50K
67, Local-gov, year-10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 20, United-Kingdom, <=50K
18, Private, year-11, Never-married, Other-service, Own-child, White, Female, 22, United-Kingdom, <=50K
31, Local-gov, year-7, Married-civ-spouse, Farming-fishing, Husband, White, Male, 40, United-Kingdom, <=50K
18, Private, HS-grad, Never-married, Sales, Not-in-family, Black, Male, 30, Laos, <=50K
52, Private, Bachelors, Married-civ-spouse, Other-service, Husband, White, Male, 40, Cuba, <=50K
46, Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, 40, Poland, <=50K
59, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, 48, Canada, <=50K
44, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Female, 40, Columbia, >50K
53, Private, HS-grad, Divorced, Sales, Own-child, White, Female, 35, United-States, <=50K
49, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, 40, United-Kingdom, >50K
33, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian, Male, 50, India, <=50K
30, Private, year-9, Never-married, Sales, Not-in-family, White, Male, 40, United-Kingdom, <=50K
43, Federal-gov, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female, 50, United-States, >50K
57, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, <=50K
37, Private, Some-college, Divorced, Craft-repair, Unmarried, White, Female, 40, United-States, <=50K
28, Private, Some-college, Divorced, Machine-op-inspct, Unmarried, Black, Female, 25, United-States, <=50K
30, Private, HS-grad, Married-civ-spouse, Sales, Wife, Asian, Female, 35, Thailand, <=50K
34, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, 40, United-States, >50K
29, Local-gov, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, 50, United-States, <=50K
48, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, 60, United-States, >50K
37, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 48, United-States, >50K
48, Private, Assoc-acdm, Divorced, Exec-managerial, Unmarried, White, Female, 40, England, <=50K
32, Federal-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male, 40, Haiti, <=50K
76, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
44, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 60, United-States, >50K
47, Self-emp-not-inc, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, 50, United-States, <=50K
20, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, 40, United-States, <=50K
29, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
32, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, >50K
17, Without-pay, year-10, Never-married, Craft-repair, Own-child, White, Female, 32, United-States, <=50K
30, Private, year-11, Never-married, Handlers-cleaners, Own-child, White, Male, 40, United-States, <=50K
31, Local-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
42, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 40, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Other-relative, White, Male, 40, United-States, <=50K
38, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, >50K
56, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, 50, Canada, >50K
28, Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female, 25, United-States, <=50K
36, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female, 40, United-States, <=50K
53, Private, year-9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 50, United-States, <=50K
56, Self-emp-inc, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 50, United-States, <=50K
49, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Black, Male, 40, United-States, >50K
55, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 56, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, 41, United-States, <=50K
21, Private, Some-college, Never-married, Other-service, Own-child, White, Female, 40, United-Kingdom, <=50K
40, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 60, United-Kingdom, <=50K
30, Private, Bachelors, Never-married, Exec-managerial, Own-child, Black, Male, 40, Germany, <=50K
29, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 50, United-Kingdom, >50K
19, Private, Some-college, Never-married, Other-service, Own-child, Black, Male, 35, Jamaica, <=50K
47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, 40, Poland, >50K
20, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, 28, United-Kingdom, <=50K
31, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, 40, United-Kingdom, >50K
35, Without-pay, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male, 40, United-States, <=50K
39, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, 40, United-Kingdom, <=50K
28, Private, Assoc-acdm, Never-married, Sales, Not-in-family, White, Female, 60, United-Kingdom, <=50K
24, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, 40, United-Kingdom, <=50K
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 35, United-Kingdom, <=50K
37, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 50, United-States, <=50K
46, Private, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Female, 36, United-States, <=50K
38, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, Iran, >50K
43, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 60, United-States, <=50K
27, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female, 35, United-States, <=50K
20, Private, Some-college, Never-married, Sales, Own-child, White, Male, 20, United-States, <=50K
49, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian, Male, 40, United-States, >50K
61, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
27, Private, Some-college, Never-married, Sales, Own-child, White, Female, 40, United-States, <=50K
19, Private, Some-college, Never-married, Other-service, Own-child, White, Male, 30, Mexico, <=50K
45, Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Female, 40, United-States, >50K
70, Private, Some-college, Never-married, Tech-support, Other-relative, White, Male, 40, United-States, <=50K
31, Private, HS-grad, Never-married, Transport-moving, Unmarried, Black, Female, 30, United-States, <=50K
22, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, 24, United-States, <=50K
36, Private, HS-grad, Widowed, Other-service, Unmarried, White, Female, 24, United-States, <=50K
64, Private, year-11, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
43, Without-pay, Some-college, Divorced, Craft-repair, Not-in-family, White, Female, 40, United-States, <=50K
47, Local-gov, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, 38, Mexico, <=50K
34, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
33, Private, Bachelors, Never-married, Exec-managerial, Other-relative, Asian, Female, 40, Philippines, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male, 35, United-States, <=50K
52, Without-pay, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, 45, United-States, >50K
48, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 46, United-States, <=50K
23, Private, Bachelors, Never-married, Handlers-cleaners, Not-in-family, White, Male, 40, United-States, <=50K
71, Self-emp-not-inc, Some-college, Separated, Sales, Unmarried, Black, Male, 2, United-States, <=50K
29, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, 60, United-States, <=50K
42, Private, Bachelors, Separated, Other-service, Other-relative, Black, Male, 50, United-States, <=50K
68, Without-pay, year-4, Divorced, Other-service, Not-in-family, White, Female, 20, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, 40, United-States, <=50K
44, Self-emp-inc, Masters, Divorced, Exec-managerial, Unmarried, Asian, Female, 40, United-States, <=50K
28, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, Asian, Female, 40, England, <=50K
45, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, >50K
36, Private, Some-college, Divorced, Other-service, Unmarried, White, Female, 40, Mexico, <=50K
39, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, Not-in-family, White, Male, 42, United-States, <=50K
46, State-gov, Masters, Widowed, Protective-serv, Unmarried, White, Male, 40, United-States, <=50K
18, Private, year-11, Never-married, Handlers-cleaners, Own-child, White, Male, 16, United-States, <=50K
66, Local-gov, Assoc-voc, Widowed, Prof-specialty, Not-in-family, White, Female, 20, United-States, <=50K
27, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male, 40, United-States, <=50K
28, State-gov, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, 40, United-States, <=50K
51, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, >50K
27, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Male, 50, United-States, <=50K
28, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, >50K
27, Private, HS-grad, Married-spouse-absent, Sales, Unmarried, White, Female, 25, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male, 40, United-States, <=50K
34, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, Black, Male, 40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, 12, United-States, <=50K
33, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 65, United-States, <=50K
44, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 38, United-States, >50K
43, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
30, Private, Some-college, Never-married, Craft-repair, Not-in-family, Black, Male, 45, United-States, <=50K
40, Private, year-8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, Mexico, >50K
37, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male, 42, United-States, >50K
34, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 40, United-States, <=50K
41, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, Not-in-family, White, Female, 40, United-States, <=50K
53, Without-pay, Bachelors, Divorced, Tech-support, Not-in-family, White, Female, 50, United-States, <=50K
31, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, 50, United-States, <=50K
58, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, 1, United-States, >50K
38, Private, Some-college, Divorced, Machine-op-inspct, Not-in-family, Black, Female, 28, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, United-States, <=50K
41, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Husband, Black, Male, 40, United-States, <=50K
47, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, 45, United-States, <=50K
41, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, Husband, White, Male, 24, United-States, <=50K
23, Private, year-6, Married-civ-spouse, Transport-moving, Other-relative, White, Male, 40, Mexico, <=50K
36, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
40, Federal-gov, Masters, Never-married, Exec-managerial, Not-in-family, White, Female, 55, United-States, >50K
35, Private, Masters, Married-civ-spouse, Prof-specialty, Other-relative, White, Male, 40, United-States, >50K
24, Self-emp-not-inc, HS-grad, Never-married, Sales, Not-in-family, White, Male, 40, United-States, <=50K
26, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, 40, United-States, <=50K
19, Without-pay, HS-grad, Never-married, Tech-support, Own-child, White, Male, 40, Italy, <=50K
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, United-States, >50K
42, Local-gov, Some-college, Never-married, Prof-specialty, Not-in-family, White, Female, 40, United-States, <=50K
37, State-gov, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, 35, United-States, <=50K
18, Private, year-11, Never-married, Sales, Own-child, White, Female, 40, United-States, <=50K
36, Private, Bachelors, Married-civ-spouse, Other-service, Husband, Black, Male, 36, Jamaica, >50K
35, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, 60, United-States, <=50K
58, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, Wife, White, Female, 35, United-States, >50K
17, Private, year-11, Never-married, Sales, Own-child, White, Female, 12, United-States, <=50K
44, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male, 40, United-States, <=50K
37, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, >50K
35, Private, Some-college, Never-married, Sales, Not-in-family, Asian, Female, 40, United-States, <=50K
60, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Asian, Male, 40, United-States, <=50K
54, Self-emp-inc, year-8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 40, United-States, >50K
37, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, Black, Male, 60, United-States, >50K
50, Private, Assoc-acdm, Divorced, Sales, Not-in-family, White, Female, 40, United-States, <=50K
38, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, 50, Poland, <=50K
45, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 55, United-States, <=50K
25, Private, year-10, Never-married, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
31, Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 40, United-States, <=50K
64, Without-pay, year-4, Divorced, Tech-support, Not-in-family, White, Male, 40, United-States, <=50K
90, Private, HS-grad, Never-married, Other-service, Not-in-family, Black, Male, 40, United-States, <=50K
54, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 20, United-States, <=50K
53, Local-gov, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Female, 35, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female, 40, United-States, <=50K
60, State-gov, year-10, Divorced, Sales, Not-in-family, Hispanic, Female, 10, Mexico, <=50K
66, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, 50, United-States, <=50K
75, Private, Assoc-voc, Widowed, Adm-clerical, Not-in-family, White, Female, 20, Columbia, <=50K
65, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, 40, United-States, <=50K
35, Private, year-11, Separated, Transport-moving, Not-in-family, Black, Male, 40, United-States, <=50K
41, Private, HS-grad, Divorced, Sales, Unmarried, Black, Female, 38, United-States, <=50K
25, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, 42, United-States, <=50K
33, Private, Some-college, Divorced, Craft-repair, Other-relative, Other, Female, 40, United-States, <=50K
28, Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Male, 55, United-States, >50K
59, State-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, 40, United-States, <=50K
40, State-gov, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, 38, United-States, <=50K
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, 50, Iran, >50K
38, Local-gov, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, 70, United-States, >50K
23, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male, 40, United-States, <=50K
40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, 40, United-States, >50K
41, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, 20, United-States, <=50K
24, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male, 50, United-States, <=50K
20, Without-pay, Some-college, Never-married, Sales, Own-child, White, Male, 20, United-States, <=50K
38, Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
56, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, 35, Canada, <=50K
58, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, 45, United-States, >50K
32, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female, 34, United-States, <=50K
40, Private, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male, 60, United-States, >50K
45, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, 40, Cuba, <=50K
41, Private, Prof-school, Married-civ-spouse, Prof-specialty, Wife, White, Female, 40, United-States, >50K
42, Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female, 40, United-States, <=50K
59, Local-gov, year-10, Widowed, Other-service, Unmarried, Black, Female, 30, United-States, <=50K
19, Local-gov, Some-college, Never-married, Adm-clerical, Own-child, White, Male, 40, United-States, <=50K
58, Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, 20, United-States, <=50K
42, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Asian, Male, 40, Cambodia, >50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female, 40, United-States, <=50K
32, Private, HS-grad, Separated, Other-service, Not-in-family, White, Female, 30, United-States, <=50K
45, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female, 45, United-States, <=50K
50, Private, year-8, Divorced, Craft-repair, Not-in-family, White, Male, 40, United-States, <=50K
36, Private, Bachelors, Divorced, Prof-specialty, Own-child, White, Female, 40, United-States, <=50K
45, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, 60, United-States, <=50K
17, Private, year-11, Never-married, Other-service, Own-child, White, Male, 12, United-States, <=50K
59, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, 40, United-States, <=50K
26, Private, year-11, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, <=50K
19, State-gov, Some-college, Never-married, Sales, Own-child, White, Male, 24, Canada, <=50K
64, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
33, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, 45, United-States, <=50K
33, Private, HS-grad, Married-civ-spouse, Craft-repair, Wife, White, Female, 40, United-States, >50K
61, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, 40, United-States, >50K
17, Private, year-9, Never-married, Other-service, Own-child, White, Male, 24, United-States, <=50K
50, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, Husband, White, Male, 98, United-States, <=50K
27, Local-gov, Masters, Never-married, Prof-specialty, Own-child, White, Male, 35, United-States, <=50K
30, Private, HS-grad, Divorced, Prof-specialty, Own-child, White, Female, 40, United-States, <=50K
43, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 40, United-States, <=50K
44, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, >50K
35, Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female, 40, United-States, <=50K
25, Private, Some-college, Never-married, Tech-support, Own-child, White, Female, 40, United-States, <=50K
24, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 48, United-States, >50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, 15, Germany, <=50K
42, Local-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, 40, United-States, >50K
34, Private, Assoc-acdm, Divorced, Sales, Unmarried, Black, Female, 45, United-States, <=50K
